Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
53,C_11_M_19,org.apache.commons.math.geometry.euclidean.threed.Vector3DTest::testAngle,0,New,9,22,0.090909091,0.001103008,2615,0.090909091,0,0.090909091
53,C_13_M_1,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBox,0,New,21,221,0.018099548,5.26E-04,15691,0.226244344,0,0.018099548
53,C_13_M_2,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testTetrahedron,0,New,15,218,0.018348624,5.32E-04,15478,0.224770642,0,0.018348624
53,C_13_M_3,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBuildBox,0,New,13,216,0.018518519,5.36E-04,15336,0.231481481,0,0.018518519
53,C_13_M_4,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testCross,0,New,17,220,0.018181818,5.28E-04,15620,0.231818182,0,0.018181818
53,C_14_M_1,org.apache.commons.math.geometry.euclidean.threed.LineTest::testContains,0,New,10,29,0.034482759,8.50E-04,2842,0.24137931,0,0.034482759
53,C_14_M_2,org.apache.commons.math.geometry.euclidean.threed.LineTest::testSimilar,0,New,7,26,0.038461538,8.94E-04,2738,0.307692308,0,0.038461538
53,C_14_M_3,org.apache.commons.math.geometry.euclidean.threed.LineTest::testPointDistance,0,New,4,12,0.083333333,0.001179467,2386,0.25,0,0.083333333
53,C_14_M_4,org.apache.commons.math.geometry.euclidean.threed.LineTest::testLineDistance,0,New,6,26,0.076923077,0.001472268,2738,0.307692308,0,0.076923077
53,C_15_M_1,org.apache.commons.math.geometry.euclidean.threed.RotationOrderTest::testName,0,New,5,4,0,0,2317,0.25,0,0
53,C_16_M_1,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testIdentity,0,New,16,16,0.0625,0.001079519,2465,0.375,0,0.0625
53,C_16_M_2,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testAxisAngle,0,New,20,28,0.035714286,8.64E-04,2807,0.25,0,0.035714286
53,C_16_M_3,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testRevert,0,New,7,17,0.058823529,0.001057294,2486,0.294117647,0,0.058823529
53,C_16_M_4,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testVectorOnePair,0,New,11,23,0.130434783,0.001627917,2645,0.391304348,0,0.130434783
